0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=3&year=2024 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=4&year=2024 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total-quantity HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=5&year=2024 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=4&year=2024 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=5&year=2024 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=6&year=2024 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=6&year=2024 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=7&year=2024 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=8&year=2024 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=7&year=2024 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=8&year=2024 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=9&year=2024 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=9&year=2024 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=10&year=2024 HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=10&year=2024 HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=11&year=2024 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=12&year=2024 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=11&year=2024 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:34 +0700] "GET /ChronoLuxWeb/admin/total?month=12&year=2024 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:38 +0700] "GET /ChronoLuxWeb/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:38 +0700] "GET /ChronoLuxWeb/login?logout HTTP/1.1" 200 5865
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:38 +0700] "GET /ChronoLuxWeb/template/login/css/style.css HTTP/1.1" 200 231509
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:38 +0700] "GET /ChronoLuxWeb/template/web/img/Logo.svg HTTP/1.1" 200 12932
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:38 +0700] "GET /ChronoLuxWeb/template/web/img/ChronoLuxIcon.svg HTTP/1.1" 200 13631
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:38 +0700] "GET /ChronoLuxWeb/template/login/js/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:38 +0700] "GET /ChronoLuxWeb/template/login/js/popper.js HTTP/1.1" 200 21007
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:38 +0700] "GET /ChronoLuxWeb/template/login/js/main.js HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:38 +0700] "GET /ChronoLuxWeb/template/login/js/bootstrap.min.js HTTP/1.1" 200 58078
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:37:38 +0700] "GET /ChronoLuxWeb/template/login/img/bg-6.jpg HTTP/1.1" 200 1931126
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:06 +0700] "POST /ChronoLuxWeb/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:08 +0700] "GET /ChronoLuxWeb/home HTTP/1.1" 200 35712
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:08 +0700] "GET /ChronoLuxWeb/template/web/img/Logo.svg HTTP/1.1" 200 12932
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:08 +0700] "GET /ChronoLuxWeb/template/web/img/posts/cof_xer.png HTTP/1.1" 200 287682
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:08 +0700] "GET /ChronoLuxWeb/template/web/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:08 +0700] "GET /ChronoLuxWeb/template/web/img/brands/casio.png HTTP/1.1" 200 24920
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:08 +0700] "GET /ChronoLuxWeb/template/web/css/style.css HTTP/1.1" 200 184023
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:08 +0700] "GET /ChronoLuxWeb/template/web/img/posts/a.png HTTP/1.1" 200 4134841
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:08 +0700] "GET /ChronoLuxWeb/template/web/img/brands/orient.png HTTP/1.1" 200 27516
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:08 +0700] "GET /ChronoLuxWeb/template/web/img/brands/citizen.png HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:08 +0700] "GET /ChronoLuxWeb/template/web/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:08 +0700] "GET /ChronoLuxWeb/template/web/js/main.js HTTP/1.1" 200 2628
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:08 +0700] "GET /ChronoLuxWeb/template/web/mail/contact.js HTTP/1.1" 200 2663
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:08 +0700] "GET /ChronoLuxWeb/template/web/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:08 +0700] "GET /ChronoLuxWeb/template/web/mail/jqBootstrapValidation.min.js HTTP/1.1" 200 14877
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:08 +0700] "GET /ChronoLuxWeb/img/payments.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:09 +0700] "GET /ChronoLuxWeb/template/web/img/products/mtp_nam_logo.webp HTTP/1.1" 200 107118
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:09 +0700] "GET /ChronoLuxWeb/template/web/img/products/sun_moon_logo.webp HTTP/1.1" 200 486980
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:09 +0700] "GET /ChronoLuxWeb/coporation HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:09 +0700] "GET /ChronoLuxWeb/template/web/img/corporation/Logo.svg HTTP/1.1" 200 12932
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:09 +0700] "GET /ChronoLuxWeb/cart/total HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:26 +0700] "GET /ChronoLuxWeb/user-profile HTTP/1.1" 200 12515
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:26 +0700] "GET /ChronoLuxWeb/template/web/css/style.css HTTP/1.1" 200 184023
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:26 +0700] "GET /ChronoLuxWeb/template/web/img/Logo.svg HTTP/1.1" 200 12932
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:26 +0700] "GET /ChronoLuxWeb/template/web/img/user-logos/infor.png HTTP/1.1" 200 21444
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:26 +0700] "GET /ChronoLuxWeb/img/payments.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:26 +0700] "GET /ChronoLuxWeb/template/web/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:26 +0700] "GET /ChronoLuxWeb/template/web/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:26 +0700] "GET /ChronoLuxWeb/template/web/cssviewprofile/style.css HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:26 +0700] "GET /ChronoLuxWeb/template/web/js/main.js HTTP/1.1" 200 2628
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:26 +0700] "GET /ChronoLuxWeb/template/web/mail/jqBootstrapValidation.min.js HTTP/1.1" 200 14877
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:26 +0700] "GET /ChronoLuxWeb/template/web/mail/contact.js HTTP/1.1" 200 2663
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:26 +0700] "GET /ChronoLuxWeb/coporation HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:26 +0700] "GET /ChronoLuxWeb/template/web/img/corporation/Logo.svg HTTP/1.1" 200 12932
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:26 +0700] "GET /ChronoLuxWeb/cart/total HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:32 +0700] "GET /ChronoLuxWeb/home HTTP/1.1" 200 35712
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:32 +0700] "GET /ChronoLuxWeb/template/web/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:32 +0700] "GET /ChronoLuxWeb/template/web/img/Logo.svg HTTP/1.1" 200 12932
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:32 +0700] "GET /ChronoLuxWeb/template/web/css/style.css HTTP/1.1" 200 184023
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:32 +0700] "GET /ChronoLuxWeb/template/web/img/brands/casio.png HTTP/1.1" 200 24920
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:32 +0700] "GET /ChronoLuxWeb/template/web/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [04/Nov/2024:00:38:32 +0700] "GET /ChronoLuxWeb/template/web/img/brands/orient.png HTTP/1.1" 200 27516
